URL,Price,Address,Bedrooms,Bathrooms,House_Size,Land_Size,Description
https://ikman.lk/en/ad/single-and-2-storied-house-with-rental-income-wijerama-nugegoda-for-sale-colombo,38500000,Wijerama Egodawatta Rd Nugegoda,8,3,"2,450.0 sqft",12.8 perches,2 Houses With Rental income - Sale in Wijerama Egodawatta Rd Nugegoda* Asking Almost the Land Value* 📍 Only 500m to SJP University* 12.8 P land with 2 houses* Single Storey House With 1700 SQFT - 3 Be
https://ikman.lk/en/ad/two-storey-house-for-sale-in-battaramulla-ds6543-for-sale-colombo-1,30000000,battaramulla,3,2,"3,000.0 sqft",9.7 perches,two story house for  Sale in Battaramulla 🏡  📍 Location: battaramulla koswatte  ✅ Land Size: 9.7 Perches ✅ House Size: 3000 Sqft ✅ Bedrooms: 3 ✅ Bathrooms: 2 ✅ Parking: Space for 2 Vehicles ✅ Road Fac
https://ikman.lk/en/ad/modern-single-story-house-for-sale-in-piliyandala-kahathuduwa-for-sale-colombo-4,19500000,Kahathuduwa,3,2,"1,366.0 sqft",6.85 perches,𝐰𝐞𝐥𝐥 𝐮𝐬𝐞𝐝 𝐬𝐢𝐧𝐠𝐥𝐞 𝐬𝐭𝐨𝐫𝐲 𝐇𝐨𝐮𝐬𝐞 𝐟𝐨𝐫 𝐬𝐚𝐥𝐞 𝐢𝐧 𝐏𝐢𝐥𝐢𝐲𝐚𝐧𝐝𝐚 𝐊𝐚𝐡𝐚𝐭𝐡𝐮𝐝𝐮𝐰𝐚කහතුඩුව හයිඩ්‍රාමනී ආයතනය ආසන්නයෙන් නිදන කාමර 3ක් සහ නාන කාමර 2ක මෑතකදී සෑදු නිවසක් විකිණීමට. නිවස මනා ඉඩකඩ සහිතව අලංකාර ලෙස ඉදිකර ඇත. අඩි
https://ikman.lk/en/ad/brand-new-house-for-sale-in-thalawathugoda-for-sale-colombo-1248,140000000,,5,5,"5,500.0 sqft",21.0 perches,3st super luxury house for sale in thalawathugodaDeepthi TharakaHighly Residential areapaceful 20feet road (carpet road )fatafice location .easy excess convenience location200 thalawathugoda madiwala 
https://ikman.lk/en/ad/nidn-kaamr-3k-tnimhl-nivs-vikinniimtt-piliyandala-dolekanaththa-for-sale-colombo-28,24000000,පිළියන්දල -දොලේකනත්ත හන්දිය,3,1,"1,132.0 sqft",6.88 perches,𝐁𝐫𝐚𝐧𝐝 𝐍𝐞𝐰 𝟑 𝐁𝐞𝐝𝐫𝐨𝐨𝐦𝐬 𝐇𝐨𝐮𝐬𝐞 𝐟𝐨𝐫 𝐬𝐚𝐥𝐞 𝐢𝐧 𝐏𝐢𝐥𝐢𝐲𝐚𝐧𝐝𝐚𝐥𝐚 𝐃𝐨𝐥𝐞𝐤𝐚𝐧𝐚𝐭𝐡𝐭𝐡𝐚 𝐉𝐮𝐧𝐜𝐭𝐢𝐨𝐧පිළියන්දල  -දොලේකනත්ත හන්දියට ආසන්නයෙන් බස් පාරට ඇවිදින දුරින් පර් 6.88ක ඉඩමෙහි ඉදිකරන ලද නිදන කාමර 3ක සහ නාන කාමර 1කින් සමන්වි
https://ikman.lk/en/ad/two-story-luxury-house-for-sale-in-colombo-15-for-sale-colombo-9,57000000,"Aluth Mawatha, Colombo 15",4,2,"1,800.0 sqft",6.0 perches,"Two Story Luxury House for Sale in Colombo 15. BR 1648Location - Aluth Mawatha, Colombo 15Property details:* Land extent: 6 Perches* Two-story architect-designed luxury house* Total 4 Bedrooms and 2 B"
https://ikman.lk/en/ad/prestige-home-school-lane-nawala-for-sale-colombo,170000000,Nawala,5,3,"2,950.0 sqft",20.0 perches,"(SE1601)🏡✨ Elegant 5-Bedroom House for Sale – Nawala, School Lane ✨💰 Price: Rs. 170,000,000 – 170 Million – 1,700 Lakhs (Offers in Excess / Negotiable)🏠 Property Type: House📍 Location: School Lane, Na"
https://ikman.lk/en/ad/two-story-house-for-sale-in-piliyandala-for-sale-colombo-442,39000000,"Seelarathana Mawatha, Piliyandala",4,2,"4,500.0 sqft",15.1 perches,"Two Story House for Sale in Piliyandala. BR 1913Location: Seelarathana Mawatha, PiliyandalaProperty Overview:* Land Extent: 15.1 Perches* Bedrooms: 4* Bathrooms: 2* Four balconies providing ample vent"
https://ikman.lk/en/ad/th203-newly-renovated-single-storey-house-for-sale-in-moratuwa-for-sale-colombo-1,60000000,Rawathawatta Moratuwa,3,2,"2,225.0 sqft",16.0 perches,"￭ Peaceful surrounding, Exclusive Neighborhood￭ 20Ft Wide Road￭ House type: Large house separated into two independent units, 2nd unit has Living, Dining and Pantry Kitchen🟩 Property Features⭕️ 03 bed"
https://ikman.lk/en/ad/fully-completed-brand-new-house-sale-athurugiriya-for-sale-colombo-3,19500000,"Koraota , Athurugiriya",3,2,"1,200.0 sqft",7.0 perches,"Brand New Single Storied House sale Koratota , Ahurugiriya7 Perches & 1200 SQ Ft20 Ft Road500 M to Main Road3 Bedrooms2 Bathrooms( Hot Water )Modern PantryLiving / Dining AreaFinishing RoofParking Spa"
https://ikman.lk/en/ad/nidhs-prisryk-alnkaar-alutm-nivs-vikiniimtt-piliyndl-for-sale-colombo,25000000,kesbawa,3,3,"1,466.0 sqft",8.0 perches,"✅ පිලියනදල, කැස්බෑව යන නගර වලට නුදුරුව, කොළඹ බණ්ඩාරගම බස් පාරට මීටර් 600 ක දුරින්, සුන්දර වෙල්යායකට මායිම්ව ඉදි වන අලංකාර අලුත්ම නිවස විකිනීමට..✅ තවත් දින 7 කින් සම්පුර්ණයෙන්ම වැඩ නිමකරනු ලැබේ. නිදහස්"
https://ikman.lk/en/ad/brand-new-house-for-sale-malabe-for-sale-colombo-492,39000000,Malabe,3,3,"2,400.0 sqft",14.5 perches,"Brand New Single Storied House For Sale Arangala Junction , Malabe14.5Perches & 2400 SQ Ft20 Ft Road400 M to Main Road3 Bedrooms2 BathroomServant BathroomModern PantryLiving / DiningRoof topFinishing "
